PartipantID,Index,Vis,Error,TruePerc,ReportPerc,,Vis,Sum of Errors,Average of Errors,,,
24,1,PieChartUncontig,3.413475,0.67469877,0.78,,25,1,PieChartUncontig,5.23,0.57,0.2
24,1,PieChartUncontig,2.2094533,0.625,0.58,,24,0,PieChartUncontig,3.51,0.79,0.9
24,0,PieChartUncontig,2.397217,0.5714286,0.52,,24,0,PieChartUncontig,3.54,0.41,0.29
,,,,,,,24,1,PieChartUncontig,3.41,0.67,0.78
,,,,,,,24,1,PieChartUncontig,2.21,0.63,0.58
,,,,,,,24,0,PieChartUncontig,2.40,0.57,0.52
,,,,,,,98,2,PieChartIncrSize,1.55,0.83,0.8
,,,,,,,47,1,PieChartIncrSize,1.26,0.62,0.6
,,,,,,,47,2,PieChartIncrSize,0.05,0.59,0.6
,,,,,,,47,1,PieChartIncrSize,4.05,0.51,0.35
,,,,,,,47,0,PieChartIncrSize,2.36,0.50,0.45
,,,,,,,47,0,PieChartIncrSize,4.51,0.67,0.44
,,,,,,,46,0,PieChartIncrSize,4.66,0.60,0.35
,,,,,,,45,2,PieChartIncrSize,3.24,0.39,0.3
,,,,,,,32,2,PieChartIncrSize,4.16,0.58,0.4
,,,,,,,31,0,PieChartIncrSize,4.02,0.74,0.9
,,,,,,,28,0,PieChartIncrSize,3.08,0.33,0.25
,,,,,,,27,2,PieChartIncrSize,1.79,0.77,0.8
,,,,,,,27,0,PieChartIncrSize,1.85,0.74,0.71
,,,,,,,27,0,PieChartIncrSize,3.81,0.43,0.29
,,,,,,,27,1,PieChartIncrSize,3.42,0.74,0.85
,,,,,,,27,0,PieChartIncrSize,0.17,0.40,0.39
,,,,,,,26,1,PieChartIncrSize,3.37,0.85,0.75
,,,,,,,25,1,PieChartIncrSize,-1.05,0.80,0.8
,,,,,,,25,2,PieChartIncrSize,3.31,0.85,0.95
,,,,,,,25,1,PieChartIncrSize,1.96,0.95,0.99
,,,,,,,25,0,PieChartIncrSize,3.54,0.76,0.88
,,,,,,,25,2,PieChartIncrSize,1.44,0.94,0.91
,,,,,,,25,0,PieChartIncrSize,3.62,0.56,0.44
,,,,,,,24,2,PieChartIncrSize,3.16,0.99,0.9
,,,,,,,24,2,PieChartIncrSize,3.87,0.63,0.48
,,,,,,,24,2,PieChartIncrSize,3.95,0.75,0.9
,,,,,,,24,2,PieChartIncrSize,-1.07,0.99,0.99
,,,,,,,24,2,PieChartIncrSize,3.82,0.74,0.88
,,,,,,,98,1,PieChartContig,3.92,1.00,0.85
,,,,,,,47,0,PieChartContig,3.27,0.59,0.5
,,,,,,,47,1,PieChartContig,4.18,0.43,0.25
,,,,,,,47,2,PieChartContig,3.89,0.40,0.25
,,,,,,,47,1,PieChartContig,4.27,0.49,0.3
,,,,,,,47,1,PieChartContig,3.36,0.61,0.51
,,,,,,,46,1,PieChartContig,4.41,0.35,0.14
,,,,,,,45,0,PieChartContig,1.12,0.92,0.9
,,,,,,,32,0,PieChartContig,3.34,1.00,0.9
,,,,,,,31,2,PieChartContig,3.88,0.30,0.15
,,,,,,,28,1,PieChartContig,4.33,0.50,0.3
,,,,,,,27,0,PieChartContig,2.40,0.85,0.9
,,,,,,,27,1,PieChartContig,3.55,0.48,0.36
,,,,,,,27,1,PieChartContig,3.15,0.40,0.31
,,,,,,,27,2,PieChartContig,1.79,0.58,0.55
,,,,,,,27,2,PieChartContig,3.34,0.54,0.44
,,,,,,,26,2,PieChartContig,3.82,0.94,0.8
,,,,,,,25,0,PieChartContig,3.17,0.99,0.9
,,,,,,,25,1,PieChartContig,2.99,0.74,0.66
,,,,,,,25,2,PieChartContig,2.01,0.91,0.87
,,,,,,,25,1,PieChartContig,1.62,0.79,0.76
,,,,,,,25,1,PieChartContig,4.29,0.63,0.82
,,,,,,,25,2,PieChartContig,4.33,0.51,0.31
,,,,,,,24,1,PieChartContig,3.54,0.37,0.25
,,,,,,,24,1,PieChartContig,4.42,0.63,0.42
,,,,,,,24,0,PieChartContig,2.37,0.94,0.89
,,,,,,,24,0,PieChartContig,2.87,0.29,0.22
,,,,,,,24,1,PieChartContig,-0.59,0.91,0.9
